,index,card_id,card_name,card_market_value
162,2191,base4-57,Poliwhirl,0.92
163,2192,base4-44,Ivysaur,3.6
164,2193,base4-63,Wartortle,1.74
165,2194,base4-35,Charmeleon,1.73
166,2195,base4-46,Kadabra,1.23
167,2196,base4-49,Machoke,0.55
168,2197,base4-47,Kakuna,0.71
169,2198,base4-81,Metapod,0.43
170,2199,base4-22,Dragonair,8.58
171,2201,base4-38,Dratini,0.99
172,2202,base4-42,Growlithe,1.21
173,2203,base4-33,Arcanine,2.07
174,2204,base4-25,Electrode,3.87
175,2205,base4-24,Electabuzz,3.17
176,2206,base4-124,Double Colorless Energy,2.28
177,2207,base4-116,Professor Oak,1.29
178,2208,base4-118,Bill,0.33
179,2209,base4-119,Energy Removal,0.3
180,111,base1-1,Alakazam,54.21
181,112,base1-2,Blastoise,160.38
182,113,base1-3,Chansey,28.22
183,114,base1-4,Charizard,459.2
184,115,base1-5,Clefairy,26.02
185,116,base1-6,Gyarados,34.98
186,117,base1-7,Hitmonchan,18.53
187,118,base1-8,Machamp,0.0
188,119,base1-9,Magneton,20.29
189,121,base1-10,Mewtwo,38.99
190,122,base1-11,Nidoking,28.8
191,123,base1-12,Ninetales,22.93
192,124,base1-13,Poliwrath,20.44
193,125,base1-14,Raichu,43.51
194,126,base1-15,Venusaur,117.13
195,127,base1-16,Zapdos,36.59
196,128,base1-17,Beedrill,3.93
197,129,base1-18,Dragonair,13.16
198,131,base1-19,Dugtrio,6.55
199,132,base1-20,Electabuzz,7.36
200,133,base1-21,Electrode,6.86
201,134,base1-22,Pidgeotto,9.46
202,135,base1-23,Arcanine,2.94
203,136,base1-24,Charmeleon,1.77
204,137,base1-25,Dewgong,2.22
205,138,base1-26,Dratini,1.62
206,139,base1-27,Farfetch'd,0.89
207,141,base1-28,Growlithe,0.77
208,142,base1-29,Haunter,1.33
209,143,base1-30,Ivysaur,2.19
210,144,base1-31,Jynx,0.67
211,145,base1-32,Kadabra,1.25
212,146,base1-33,Kakuna,1.06
213,147,base1-34,Machoke,0.69
214,148,base1-35,Magikarp,1.82
215,149,base1-36,Magmar,2.62
216,151,base1-37,Nidorino,1.78
217,152,base1-38,Poliwhirl,1.27
218,153,base1-39,Porygon,2.12
219,154,base1-40,Raticate,2.05
220,155,base1-41,Seel,1.08
221,156,base1-42,Wartortle,2.47
222,157,base1-43,Abra,0.62
223,158,base1-44,Bulbasaur,1.68
224,159,base1-45,Caterpie,0.83
225,161,base1-46,Charmander,1.72
226,162,base1-47,Diglett,0.47
227,163,base1-48,Doduo,0.93
228,164,base1-49,Drowzee,0.41
229,165,base1-50,Gastly,0.56
230,166,base1-51,Koffing,0.46
231,167,base1-52,Machop,0.36
232,168,base1-53,Magnemite,0.49
233,169,base1-54,Metapod,0.78
234,171,base1-55,Nidoran ♂,0.68
235,172,base1-56,Onix,0.5
236,173,base1-57,Pidgey,0.67
237,174,base1-58,Pikachu,3.19
238,175,base1-59,Poliwag,0.42
239,176,base1-60,Ponyta,0.42
240,177,base1-61,Rattata,0.44
241,178,base1-62,Sandshrew,0.55
242,179,base1-63,Squirtle,2.84
243,181,base1-64,Starmie,0.46
244,182,base1-65,Staryu,0.35
245,183,base1-66,Tangela,0.52
246,184,base1-67,Voltorb,1.3
247,185,base1-68,Vulpix,0.54
248,186,base1-69,Weedle,0.46
249,187,base1-70,Clefairy Doll,5.46
250,188,base1-71,Computer Search,3.11
251,189,base1-72,Devolution Spray,4.6
252,191,base1-73,Impostor Professor Oak,5.49
253,192,base1-74,Item Finder,8.57
254,193,base1-75,Lass,2.36
255,194,base1-76,Pokémon Breeder,6.65
256,195,base1-77,Pokémon Trader,4.42
257,196,base1-78,Scoop Up,7.11
258,197,base1-79,Super Energy Removal,3.34
259,198,base1-80,Defender,1.26
260,199,base1-81,Energy Retrieval,0.62
261,1101,base1-82,Full Heal,1.37
262,1102,base1-83,Maintenance,2.11
263,1103,base1-84,PlusPower,0.55
264,1104,base1-85,Pokémon Center,1.6
265,1105,base1-86,Pokémon Flute,2.39
266,1106,base1-87,Pokédex,0.41
267,1107,base1-88,Professor Oak,1.07
268,1108,base1-89,Revive,2.17
269,1109,base1-90,Super Potion,0.29
270,1111,base1-91,Bill,0.34
271,1112,base1-92,Energy Removal,0.36
272,1113,base1-93,Gust of Wind,0.24
273,1114,base1-94,Potion,0.2
274,1115,base1-95,Switch,0.29
275,1116,base1-96,Double Colorless Energy,5.73
276,1117,base1-97,Fighting Energy,0.31
277,1118,base1-98,Fire Energy,0.3
278,1119,base1-99,Grass Energy,0.27
279,1121,base1-100,Lightning Energy,0.32
280,1122,base1-101,Psychic Energy,0.34
281,1123,base1-102,Water Energy,0.32
282,1124,base1-4,Charizard,459.2
283,1125,base1-2,Blastoise,160.38
284,1126,base1-15,Venusaur,117.13
285,1127,base1-10,Mewtwo,38.99
286,1128,base1-16,Zapdos,36.59
287,1129,base1-14,Raichu,43.51
288,1131,base1-1,Alakazam,54.21
289,1132,base1-3,Chansey,28.22
290,1133,base1-12,Ninetales,22.93
291,1134,base1-8,Machamp,0.0
292,1135,base1-4,Charizard,459.2
293,1136,base1-10,Mewtwo,38.99
294,1137,base1-58,Pikachu,3.19
295,1138,base1-44,Bulbasaur,1.68
296,1139,base1-46,Charmander,1.72
297,1141,base1-63,Squirtle,2.84
298,1142,base1-57,Pidgey,0.67
299,1143,base1-61,Rattata,0.44
300,1144,base1-5,Clefairy,26.02
301,1145,base1-31,Jynx,0.67
302,1146,base1-35,Magikarp,1.82
303,1147,base1-43,Abra,0.62
304,1148,base1-52,Machop,0.36
305,1149,base1-53,Magnemite,0.49
306,1151,base1-51,Koffing,0.46
307,1152,base1-50,Gastly,0.56
308,1153,base1-68,Vulpix,0.54
309,1154,base1-60,Ponyta,0.42
310,1155,base1-49,Drowzee,0.41
311,1156,base1-47,Diglett,0.47
312,1157,base1-69,Weedle,0.46
313,1158,base1-45,Caterpie,0.83
314,1159,base1-55,Nidoran ♂,0.68
315,1161,base1-59,Poliwag,0.42
316,1162,base1-38,Poliwhirl,1.27
317,1163,base1-30,Ivysaur,2.19
318,1164,base1-42,Wartortle,2.47
319,1165,base1-24,Charmeleon,1.77
320,1166,base1-32,Kadabra,1.25
321,1167,base1-34,Machoke,0.69
322,1168,base1-33,Kakuna,1.06
323,1169,base1-54,Metapod,0.78
324,1171,base1-18,Dragonair,13.16
325,1172,base1-26,Dratini,1.62
326,1173,base1-28,Growlithe,0.77
327,1174,base1-23,Arcanine,2.94
328,1175,base1-21,Electrode,6.86
329,1176,base1-20,Electabuzz,7.36
330,1177,base1-64,Starmie,0.46
331,1178,base1-65,Staryu,0.35
332,1179,base1-96,Double Colorless Energy,5.73
333,1181,base1-88,Professor Oak,1.07
334,1182,base1-91,Bill,0.34
335,1183,base1-92,Energy Removal,0.36
336,1184,base1-87,Pokédex,0.41
337,1185,base1-95,Switch,0.29
338,1186,base1-94,Potion,0.2
339,1187,base1-90,Super Potion,0.29
340,1188,base1-85,Pokémon Center,1.6
341,1189,base1-81,Energy Retrieval,0.62
342,1191,base1-98,Fire Energy,0.3
343,1192,base1-100,Lightning Energy,0.32
344,1193,base1-102,Water Energy,0.32
345,1194,base1-99,Grass Energy,0.27
346,1195,base1-101,Psychic Energy,0.34
